|boss|first_name|last_name|subject|first_name |last_name |
|----|----------|---------|-------|-----------|----------|
|145 |John      |Russell  |151    |David      |Bernstein |
|145 |John      |Russell  |154    |Nanette    |Cambrault |
|145 |John      |Russell  |155    |Oliver     |Tuvault   |
|145 |John      |Russell  |150    |Peter      |Tucker    |
|145 |John      |Russell  |152    |Peter      |Hall      |
|145 |John      |Russell  |153    |Christopher|Olsen     |
|146 |Karen     |Partners |157    |Patrick    |Sully     |
|146 |Karen     |Partners |158    |Allan      |McEwen    |
|146 |Karen     |Partners |160    |Louise     |Doran     |
|146 |Karen     |Partners |156    |Janette    |King      |
|146 |Karen     |Partners |161    |Sarath     |Sewall    |
|147 |Alberto   |Errazuriz|166    |Sundar     |Ande      |
|147 |Alberto   |Errazuriz|162    |Clara      |Vishney   |
|147 |Alberto   |Errazuriz|163    |Danielle   |Greene    |
|147 |Alberto   |Errazuriz|164    |Mattea     |Marvins   |
|147 |Alberto   |Errazuriz|165    |David      |Lee       |
|147 |Alberto   |Errazuriz|167    |Amit       |Banda     |
|148 |Gerald    |Cambrault|169    |Harrison   |Bloom     |
|148 |Gerald    |Cambrault|170    |Tayler     |Fox       |
|148 |Gerald    |Cambrault|171    |William    |Smith     |
|148 |Gerald    |Cambrault|172    |Elizabeth  |Bates     |
|148 |Gerald    |Cambrault|173    |Sundita    |Kumar     |
|148 |Gerald    |Cambrault|168    |Lisa       |Ozer      |
|149 |Eleni     |Zlotkey  |174    |Ellen      |Abel      |
|149 |Eleni     |Zlotkey  |175    |Alyssa     |Hutton    |
|149 |Eleni     |Zlotkey  |176    |Jonathon   |Taylor    |
|149 |Eleni     |Zlotkey  |177    |Jack       |Livingston|
|149 |Eleni     |Zlotkey  |178    |Kimberely  |Grant     |
|149 |Eleni     |Zlotkey  |179    |Charles    |Johnson   |
