|employee_id|first_name|last_name|email   |phone_number      |hire_date |job_id|salary|commission_pct|manager_id|department_id|rating_e|
|-----------|----------|---------|--------|------------------|----------|------|------|--------------|----------|-------------|--------|
|145        |John      |Russell  |JRUSSEL |011.44.1344.429268|1996-10-01|SA_MAN|14 000|0,4           |100       |80           |3       |
|148        |Gerald    |Cambrault|GCAMBRAU|011.44.1344.619268|1999-10-15|SA_MAN|11 000|0,3           |100       |80           |5       |
|149        |Eleni     |Zlotkey  |EZLOTKEY|011.44.1344.429018|2000-01-29|SA_MAN|10 500|0,2           |100       |80           |3       |
|150        |Peter     |Tucker   |PTUCKER |011.44.1344.129268|1997-01-30|SA_REP|10 000|0,3           |145       |80           |3       |
|154        |Nanette   |Cambrault|NCAMBRAU|011.44.1344.987668|1998-12-09|SA_REP|7 500 |0,2           |145       |80           |3       |
|157        |Patrick   |Sully    |PSULLY  |011.44.1345.929268|1996-03-04|SA_REP|9 500 |0,35          |146       |80           |2       |
|158        |Allan     |McEwen   |AMCEWEN |011.44.1345.829268|1996-08-01|SA_REP|9 000 |0,35          |146       |80           |2       |
|166        |Sundar    |Ande     |SANDE   |011.44.1346.629268|2000-03-24|SA_REP|6 400 |0,1           |147       |80           |2       |
|170        |Tayler    |Fox      |TFOX    |011.44.1343.729268|1998-01-24|SA_REP|9 600 |0,2           |148       |80           |3       |
|174        |Ellen     |Abel     |EABEL   |011.44.1644.429267|1996-05-11|SA_REP|11 000|0,3           |149       |80           |1       |
|175        |Alyssa    |Hutton   |AHUTTON |011.44.1644.429266|1997-03-19|SA_REP|8 800 |0,25          |149       |80           |3       |
|176        |Jonathon  |Taylor   |JTAYLOR |011.44.1644.429265|1998-03-24|SA_REP|8 600 |0,2           |149       |80           |3       |
